"","Month","NameMonth","Year2017","Year2018","Year2019","Year2020","Year2021"
"1","01","Jan",53258,50569,53825,51899,48111
"2","02","Feb",52040,51532,52264,51077,42470
"3","03","Mar",62724,57007,57926,50232,44772
"4","04","Apr",47456,51765,50018,32046,42680
"5","05","May",63075,63475,60091,30358,47712
"6","06","Jun",54823,53668,53423,35486,45239
"7","07","Jul",51436,53110,53175,42785,46122
"8","08","Aug",40138,39355,37843,33300,35152
"9","09","Sep",51698,52767,52877,44544,47683
"10","10","Oct",61259,63083,64412,67168,52659
"11","11","Nov",58799,57081,56953,72483,53978
"12","12","Dec",46362,46320,47442,57303,53748
