"Settore_economica","w2017","w2018","w2019","w2020","w2021","Inj2017","Inj2018","Inj2019","Inj2020","Inj2021","Index2017","Index2018","Index2019","Index2020","Index2021"
"A Agricoltura",167989,175390,175202,165492,167989,5426,5077,5312,6932,5092,0.0323,0.0289,0.0303,0.0419,0.0303
"C 10 Industrie alimentari",420607,410200,419554,403481,420607,11344,11725,11895,10458,10982,0.027,0.0286,0.0284,0.0259,0.0261
"C 11 Industria delle bevande",41114,39495,40810,39146,41114,721,741,761,571,652,0.0175,0.0188,0.0186,0.0146,0.0159
"C 12 Industria del tabacco",4978,5220,5035,4943,4978,62,62,45,36,29,0.0125,0.0119,0.0089,0.0073,0.0058
"C 13 Industrie tessili",109244,121952,121052,102514,109244,2072,2199,2095,1404,1661,0.019,0.018,0.0173,0.0137,0.0152
"C 14 Abbigliamento; pelle e pelliccia",155611,183654,183933,152654,155611,1592,1622,1668,1034,1086,0.0102,0.0088,0.0091,0.0068,0.007
"C 17 Carta e prodotti di carta",81213,79479,81303,77621,81213,2171,2164,2235,1711,1931,0.0267,0.0272,0.0275,0.022,0.0238
"C 18 Stampa e supporti registrati",74557,81746,81883,72700,74557,1447,1409,1379,932,1027,0.0194,0.0172,0.0168,0.0128,0.0138
"C 20 Prodotti chimici",153686,150419,154259,147780,153686,2190,2395,2312,1749,1989,0.0142,0.0159,0.015,0.0118,0.0129
"C 22 Gomma e materie plastiche",199056,194709,198325,184874,199056,5504,5783,5693,4124,5123,0.0277,0.0297,0.0287,0.0223,0.0257
"C 24 Metallurgia",132511,136857,137835,123853,132511,5346,5482,5354,3879,4694,0.0403,0.0401,0.0388,0.0313,0.0354
"C 26 Prodotti di elettronica",151002,146210,149419,141161,151002,1284,1369,1450,913,1127,0.0085,0.0094,0.0097,0.0065,0.0075
"C 27 Apparecchiature elettriche",186772,178129,183318,172233,186772,3451,3641,3584,2588,3179,0.0185,0.0204,0.0196,0.015,0.017
"C 28 Macchinari ed apparecchiature nca",598144,581709,605313,558306,598144,12536,14075,13819,9711,11945,0.021,0.0242,0.0228,0.0174,0.02
"C 30 Altri mezzi di trasporto",143184,134330,141411,135397,143184,2325,2625,2542,1843,2238,0.0162,0.0195,0.018,0.0136,0.0156
"C 31 Fabbricazione di mobili",127432,129834,131110,116636,127432,3432,3663,3764,2644,3240,0.0269,0.0282,0.0287,0.0227,0.0254
"C 32 Altre industrie manifatturiere",122914,126696,128490,115816,122914,1753,1733,1723,1150,1414,0.0143,0.0137,0.0134,0.0099,0.0115
"D Fornitura di energia elettrica, gas",117244,120196,123240,112953,117244,1138,1146,1132,716,801,0.0097,0.0095,0.0092,0.0063,0.0068
"E Fornitura di acqua",247540,234158,244280,236837,247540,12340,12214,12327,9386,10176,0.0499,0.0522,0.0505,0.0396,0.0411
"F Costruzioni",1546795,1475435,1504661,1426595,1546795,24038,24947,25343,20117,23858,0.0155,0.0169,0.0168,0.0141,0.0154
"G Riparazione di autoveicoli e motocicli",2451359,2518705,2562381,2316671,2451359,48002,48564,48504,37659,41474,0.0196,0.0193,0.0189,0.0163,0.0169
"H Trasporto e magazzinaggio",1175579,1183695,1222258,1117609,1175579,47446,48782,49140,38565,47784,0.0404,0.0412,0.0402,0.0345,0.0406
"I Servizi di alloggio e di ristorazione",732456,904035,940311,673451,732456,28178,29763,30816,19179,20887,0.0385,0.0329,0.0328,0.0285,0.0285
"J Informazione e comunicazione",760062,719468,745306,714306,760062,5652,5685,5460,3976,4733,0.0074,0.0079,0.0073,0.0056,0.0062
"K Finanziarie e assicurative",678812,682210,704101,682593,678812,5193,5044,4897,3052,2991,0.0077,0.0074,0.007,0.0045,0.0044
"L Attivita' immobiliari",142639,160063,155702,138349,142639,3144,2651,2323,1772,1604,0.022,0.0166,0.0149,0.0128,0.0112
"M Professionali, scientifiche e tecniche",767470,743009,776868,721362,767470,7825,7803,7650,5751,5919,0.0102,0.0105,0.0098,0.008,0.0077
"N Noleggio, agenzie di viaggio",702020,722296,754364,667224,702020,29796,30865,30836,23453,24954,0.0424,0.0427,0.0409,0.0352,0.0355
"P Istruzione",204891,202975,211666,179610,204891,5523,5559,5695,3424,4264,0.027,0.0274,0.0269,0.0191,0.0208
"Q Sanita' e assistenza sociale",1151127,1091959,1111614,1071108,1151127,40294,38463,39330,109537,52825,0.035,0.0352,0.0354,0.1023,0.0459
"R Attivita' artistiche",141583,167703,171922,134493,141583,4756,4744,4960,3696,4118,0.0336,0.0283,0.0289,0.0275,0.0291
"S Altre attivita' di servizi",421413,447947,453457,416642,421413,6231,6037,5893,5551,5107,0.0148,0.0135,0.013,0.0133,0.0121
"X Non determinato",840323,423631,447324,545566,840323,242684,230998,229673,169873,187962,0.2888,0.5453,0.5134,0.3114,0.2237
